hour,start_cell,end_cell,mean,std,scv,scv_real,n,lambda,mu1,mu2,phi1
6,8,0,0.3435185185185185,0.1593011333490812,0.2150489978063396,0.2150489978063395,5,14.555256064690028,14.555256064690028,14.555256064690028,0.0
6,8,1,0.2015555555555555,0.0934681151143611,0.1938548404768453,0.2150489978063396,6,29.76846747519295,24.807056229327458,24.807056229327458,0.0
6,8,3,0.229375,0.0559974125475777,0.1552518049649766,0.0595996565627516,7,30.517711171662125,74.11444141689374,74.11444141689374,0.0
6,8,4,0.5694444444444444,0.2640706118859433,0.2150489978063396,0.2150489978063396,5,8.78048780487805,8.78048780487805,8.78048780487805,0.0
6,8,6,0.1614052287581699,0.0748490532054332,0.4199033862357501,0.2150489978063396,3,18.58675845312817,30.977930755213613,30.977930755213613,0.0
6,8,8,0.0416898148148148,0.0193329744718123,1.66371160355924,0.2150489978063396,2,47.97334813992227,119.93337034980568,119.93337034980568,0.0
6,9,0,0.2115017361111111,0.0980804947957471,0.1781705755435594,0.2150489978063396,6,28.36856146111225,23.640467884260207,23.640467884260207,0.0
6,9,1,0.3234558823529411,0.9574215864679634,1.8349900792998703,8.761456779332432,2,6.1832234598772455,6.1832234598772455,0.3528650323575737,0.9429318648036408
6,9,3,0.2694973544973544,0.124975020826114,0.2289103017575295,0.2150489978063396,5,18.553057818788652,18.553057818788652,18.553057818788652,0.0
6,9,4,0.3271428571428571,0.151707186368482,0.2150489978063396,0.2150489978063396,5,15.283842794759826,15.283842794759826,15.283842794759826,0.0
6,9,5,0.1141666666666666,0.0529429373098159,0.2249589268502321,0.2150489978063396,5,43.7956204379562,43.7956204379562,43.7956204379562,0.0
6,9,6,0.2088024691358023,0.0968287535789042,0.2662650149029635,0.2150489978063396,4,19.15686158576244,23.946076982203056,23.946076982203056,0.0
6,9,7,0.1226234567901234,0.0317901197111348,0.2652893971301127,0.0672105140354326,4,32.62018625723635,122.32569846463628,122.32569846463628,0.0
6,9,9,0.0389655172413793,0.0207937317462919,2.0045381063900973,0.284776391594336,2,51.327433628318566,102.65486725663712,102.65486725663712,0.0
7,0,0,0.1150666666666667,0.138458715303954,2.606309026269561,1.4479098770272434,2,17.381228273464654,17.381228273464654,6.002178916394537,0.6546746396767675
