,name,start_station_id,longitude,latitude,cell,capacity
199,SAGENE BUSSHOLDEPLASS,407,10.7516480000002,59.9377429999888,7,15
200,SALT,616,10.7465752465554,59.9069147370953,33,15
201,SCHIVES GATE,613,10.7140551425732,59.9208961652953,23,27
202,SCHOUS PLASS,401,10.7606289999978,59.9202589999965,21,6
203,SCHOUS PLASS,423,10.7608040000073,59.9203349999511,21,19
204,SCHOUS PLASS TRIKKESTOPP,463,10.7594856999951,59.9207283999753,21,20
205,SENTRUM SCENE,437,10.7511267626203,59.9154714022142,11,24
206,SINSEN T BANE,614,10.7805615157459,59.9388485590909,27,24
207,SINSENVEIEN,415,10.781052999999,59.929542000013,27,12
208,SIRKUSTOMTA,497,10.774712000004,59.9192520000254,22,27
209,SJØLYST,445,10.6766599999983,59.9216729999882,36,18
210,SJØSIDEN VED FONTENEN,392,10.7516987509989,59.9101808526321,33,49
211,SJØSIDEN VED TRAPPEN,443,10.7519441561745,59.9101599791578,33,43
212,SJØSIDEN VEST,392,10.7513980753648,59.9101790459662,33,49
213,SJØSIDEN ØST,443,10.7518240000027,59.9101779999931,33,43
214,SKARPSNOPARKEN,595,10.701037,59.9148709999909,25,24
215,SKILLEBEKK,468,10.7101151377898,59.9127745260646,25,15
216,SKIPPERGATA,547,10.7481975999995,59.9112226999999,8,30
217,SKOVVEIEN,388,10.7163489999963,59.9163309000263,23,18
218,SKRÅNINGA,553,10.7474666999995,59.9139785999604,8,25
219,SKØYEN,572,10.6796401477286,59.9222602992885,36,40
220,SKØYEN STASJON,627,10.6787169448585,59.9226990058116,36,30
221,SLEMDALSVEIEN,386,10.7147779999971,59.9305960000151,28,22
222,SLOTTSPARKEN ØST,562,10.7321280000028,59.9174850000154,14,40
223,SOFIENBERGGATA,514,10.769989199996,59.9212062999807,22,12
224,SOFIENBERGPARKEN NORD,598,10.7661710000096,59.9232290000309,21,33
225,SOFIENBERGPARKEN NORDVEST,493,10.7615857999921,59.9243638999787,12,30
226,SOFIENBERGPARKEN SØR,455,10.7617503000019,59.9223370000204,21,12
227,SOGNSVEIEN,575,10.732526713676,59.9474484279991,17,30
228,SOMMERFRYDHAGEN,485,10.7760719999992,59.9114530000225,31,21
229,SOTAHJØRNET,610,10.7914482000028,59.9099822000115,24,20
230,SPIKERSUPPA VEST,430,10.7358450372291,59.9137577743222,41,42
