n_players,price,base_price,Q,Qs_per_player,eq_tput
6,"[1, 0.9080839017903574, 0.9467463809210321, 0.9577798741545842, 0.9895444701697743, 1]",0.9655112478869374,14,"[1, 9, 1, 1, 1, 1]",13.057333863927182
6,"[0.6260662301079791, 0.6540015504141883, 0.44554841273888424, 0.4573646437795704, 0.5487263863141605, 0.48403982695932246]",0.5564930400609495,121,"[1, 1, 40, 36, 14, 29]",73.18772461558
6,"[0.5520053617696887, 0.7290888624655306, 0.5343158984394087, 0.6131346277455786, 0.6723703236321088, 0.619606379995437]",0.647537056654578,105,"[34, 1, 38, 17, 1, 14]",70.20997147875296
6,"[0.7619377571538299, 0.6800139353818587, 0.6692272459952118, 0.7189763171252734, 0.7236885660145818, 0.782028526678589]",0.7878654295664203,80,"[1, 26, 29, 12, 11, 1]",60.0101313153654
6,"[0.6340575740071775, 0.7074876796260108, 0.9033153838879121, 0.7328890269675723, 0.7763784152962706, 0.7305557990540521]",0.7540661275786806,79,"[43, 17, 1, 8, 1, 9]",59.49020824394932
6,"[0.2, 0.28996273336007505, 0.298768792342945, 0.23455257306630564, 0.34776981101700577, 0.2178271784268871]",0.25981828704900445,234,"[67, 22, 15, 62, 1, 67]",74.25827588439547
6,"[0.722646134518713, 0.6796403550217857, 0.5339532777991187, 0.699281054349104, 0.7376320552300764, 0.8828719522478612]",0.7123571019245067,89,"[2, 16, 61, 8, 1, 1]",64.34601666211542
6,"[0.33645244000192825, 0.27120225069958104, 0.4834236194413397, 0.34579359641784113, 0.3692157739216826, 0.48276836671102663]",0.36072610709193387,170,"[40, 65, 1, 36, 27, 1]",74.1394653733697
6,"[0.7360273128793365, 1, 0.7056710769130384, 0.6193826743798413, 0.7808285841486602, 0.7762729569746794]",0.7204606252453578,78,"[8, 1, 19, 48, 1, 1]",58.963177806093334
6,"[0.4293594252580347, 0.3508930377728057, 0.3116787794464611, 0.3704391464434181, 0.208538047133064, 0.44664955606597073]",0.3908527163481268,173,"[1, 32, 48, 24, 67, 1]",74.1470059171703
6,"[0.32014003075785635, 0.20635064793917698, 0.31970734803630674, 0.23964436073047718, 0.49129326608439905, 0.26404251923575306]",0.346146162184376,216,"[15, 67, 16, 66, 1, 51]",74.23195249691297
6,"[0.7594719692795002, 0.372628749371174, 0.8583787573379007, 0.8226565098694747, 0.6256861161989618, 0.6229649549947701]",0.7035295987197825,102,"[1, 67, 1, 1, 16, 16]",69.31914892539562
6,"[1, 0.7853834459869685, 0.7930669597334022, 0.8959211212485058, 1, 0.7229947809172839]",0.8861314712099937,57,"[1, 12, 8, 1, 1, 34]",46.420388701028735
6,"[0.4705376689142607, 0.7117953266371874, 0.36474091350636906, 0.6577649678083431, 0.5340854052486289, 0.669424266929312]",0.6229542520050579,119,"[36, 1, 60, 1, 20, 1]",72.96877092565356
6,"[0.9349965700160705, 0.6166940068504752, 0.7419800435759358, 0.8778193503835896, 0.5709695850106362, 0.8189205103588967]",0.7467768699018293,89,"[1, 36, 1, 1, 49, 1]",64.34601666211542
6,"[0.6758325518817265, 0.6703811699555485, 0.7739537192889215, 0.7039039383628944, 0.9621844577832698, 0.7135743526606703]",0.7283776473811308,81,"[25, 27, 1, 15, 1, 12]",60.52281794226177
6,"[0.6962530267031259, 0.7738518708285588, 0.7833720054015109, 0.6721606836982698, 0.733539416385487, 0.7965677640998161]",0.7269400721739054,75,"[26, 1, 1, 34, 12, 1]",57.340634260764766
6,"[0.5324730015366773, 0.5780097245692255, 0.5475851015950506, 0.5574687860780032, 0.4171322011344867, 0.5249094195582233]",0.49634637203911763,121,"[19, 8, 15, 13, 46, 20]",73.18772461558
6,"[0.9446914542940703, 0.7221944146764803, 0.6856548775694935, 0.5401545457105934, 0.6969778548277185, 0.8301783240485704]",0.7479446688653502,89,"[1, 2, 14, 61, 10, 1]",64.34601666211542
6,"[0.6833042136612194, 0.8195462136492233, 0.8010005923311136, 0.6678862256166581, 0.7326608957596977, 0.5517513668665839]",0.7254784017557108,90,"[13, 1, 1, 18, 1, 56]",64.78661804945106
6,"[0.4954473254403852, 0.6855000479039892, 0.8346860607763127, 0.739326575710229, 0.6533976767715749, 0.6580990891965568]",0.6780868547675765,97,"[62, 5, 1, 1, 15, 13]",67.60978195821914
6,"[0.2891989019223071, 0.37167494551264296, 0.5190223604272062, 0.6692246111604616, 0.5376394463082116, 0.37171897678506527]",0.4811556571932479,147,"[64, 40, 1, 1, 1, 40]",74.0620588483829
6,"[0.8872036993364628, 0.875927522082434, 0.8925979420948084, 0.6803759371942031, 0.9204340257393959, 0.7894994462192639]",0.8528669187870654,60,"[1, 1, 1, 48, 1, 8]",48.37275847961522
